Document #,Version ,Date,Title or Type of Document,Author,Reviewers,Hardcopy Location,Softcopy Format/Location
95077-001,1,23-Sep-13,Procurement Opportunity Delivery System (PODS) - User’s Guide,LL,,,\\vault\cslt\products\pods\Help_Documentation\doc.book
95077-002,1,05-May-14,Procurement Opportunity Delivery System (PODS) - Daily Tasks Manual,MH,,,cslt\products\pods\Daily_Tasks_Manual\PODS Task Manual.docx
,,,,,,,
96002-001,1,09-Apr-96,Interrogate and Respond Device (IRD) - Technical Proposal,PTM/RG,,96002 File,/cslt/docs/1996/96002/proposal/technical/body.bk
96002-002,1,09-Apr-96,Interrogate and Respond Device (IRD) - Cost Proposal,PTM/RG,,96002 File,/cslt/docs/1996/96002/proposal/cost/body.book
96002-002,2,14-Apr-96,Interrogate and Respond Device (IRD) - Cost Proposal,PTM/RG,,96002 File,/cslt/docs/1996/96002/proposal/cost/body.book
96002-003,1,19-Apr-96,Interrogate and Respond Device (IRD) - System Design Manual,PTM/RG,,96002 File,/cslt/docs/1996/96002/sdm/body.book
96002-003,2,26-Apr-96,Interrogate and Respond Device (IRD) - System Design Manual,PTM/RG,,96002 File,/cslt/docs/1996/96002/sdm/body.book
96002-003,3,17-May-96,Interrogate and Respond Device (IRD) - System Design Manual,PTM/RG,,96002 File,/cslt/docs/1996/96002/sdm/body.book
96002-004,1,17-May-96,Letter to MaryAnn Long re: Contract Terms & Conditions,PTM,,96002 File,/cslt/docs/1996/96002/letters/Long_M_96-05-17.doc
96002-005,1,27-Jun-96,Letter to MaryAnn Long re: Additional Labour Costs,PTM,,96002 File,/cslt/docs/1996/96002/letters/Long_M_96-06-27.doc
,,,,,,,
96005-001,1,20-Feb-96,Ice Management Services for HMDC - Expression of Interest,WNE,,96005 File,/cslt/docs/1996/96005/expression/96005exp.bk
96005-002,1,16-Aug-96,Ice Management Services for HMDC - Prequalification Questionnaire,WNE/PTM/BOR,,96005 File,/cslt/docs/1996/96005/pre-qual/prequal.bk
96005-003,1,14-Jan-97,HMDC Network Expansion Proposal,LB,,96005 File,/cslt/docs/1996/96005/network.doc
